iter	Passed	Remaining
0	139	139633
1	141	70757
2	143	47746
3	145	36322
4	147	29416
5	150	24924
6	152	21654
7	154	19162
8	156	17240
9	158	15643
10	159	14318
11	160	13231
12	162	12307
13	163	11484
14	164	10777
15	165	10150
16	166	9598
17	166	9101
18	167	8648
19	168	8240
20	168	7872
21	169	7537
22	170	7232
23	170	6951
24	171	6687
25	171	6442
26	172	6215
27	172	6005
28	173	5809
29	174	5626
30	174	5455
31	175	5296
32	175	5150
33	176	5008
34	176	4874
35	177	4747
36	177	4632
37	178	4520
38	179	4412
39	179	4310
40	180	4212
41	180	4120
42	181	4032
43	181	3948
44	182	3867
45	182	3790
46	183	3715
47	183	3645
48	184	3576
49	184	3511
50	185	3450
51	185	3389
52	186	3331
53	186	3275
54	187	3221
55	187	3168
56	188	3118
57	189	3069
58	189	3022
59	190	2976
60	191	2940
61	191	2898
62	192	2859
63	192	2820
64	193	2782
65	193	2744
66	194	2707
67	194	2672
68	195	2637
69	195	2603
70	196	2571
71	197	2540
72	197	2509
73	198	2479
74	198	2450
75	199	2423
76	199	2395
77	200	2368
78	200	2342
79	201	2316
80	201	2290
81	202	2266
82	202	2239
83	203	2216
84	203	2193
85	204	2170
86	204	2148
87	205	2130
88	206	2110
89	206	2092
90	207	2071
91	207	2052
92	208	2033
93	208	2014
94	209	1995
95	210	1977
96	210	1959
97	211	1942
98	211	1924
99	212	1908
100	212	1891
101	213	1875
102	213	1859
103	214	1845
104	214	1830
105	215	1815
106	215	1800
107	216	1786
108	216	1772
109	217	1758
110	217	1745
111	218	1731
112	218	1718
113	219	1705
114	219	1692
115	220	1683
116	221	1671
117	222	1659
118	222	1647
119	223	1636
120	223	1624
121	224	1612
122	224	1601
123	225	1590
124	225	1579
125	226	1569
126	226	1557
127	227	1547
128	227	1538
129	228	1529
130	229	1519
131	229	1510
132	230	1500
133	230	1491
134	231	1482
135	231	1473
136	232	1464
137	233	1456
138	233	1447
139	234	1439
140	235	1431
141	235	1423
142	236	1417
143	237	1410
144	237	1403
145	238	1395
146	239	1387
147	239	1380
148	240	1372
149	240	1365
150	241	1358
151	242	1351
152	242	1344
153	243	1337
154	244	1330
155	244	1323
156	245	1316
157	245	1310
158	246	1303
159	247	1296
160	247	1289
161	248	1283
162	248	1277
163	249	1272
164	250	1267
165	251	1262
166	252	1257
167	252	1251
168	253	1246
169	254	1240
170	254	1235
171	255	1229
172	256	1224
173	256	1218
174	257	1213
175	258	1208
176	258	1202
177	259	1197
178	259	1192
179	260	1186
180	261	1181
181	261	1176
182	262	1171
183	263	1166
184	263	1161
185	264	1156
186	265	1152
187	266	1149
188	266	1144
189	267	1140
190	267	1135
191	268	1130
192	269	1126
193	270	1122
194	270	1117
195	271	1112
196	272	1108
197	272	1104
198	273	1100
199	273	1095
200	274	1091
201	275	1087
202	275	1082
203	276	1078
204	277	1074
205	277	1070
206	278	1066
207	279	1062
208	279	1058
209	280	1055
210	281	1053
211	282	1049
212	283	1045
213	283	1042
214	284	1038
215	284	1034
216	285	1030
217	286	1026
218	286	1023
219	287	1019
220	288	1015
221	288	1011
222	289	1008
223	289	1004
224	290	1001
225	291	997
226	292	997
227	293	993
228	294	990
229	294	986
230	295	983
231	296	981
232	297	978
233	297	974
234	298	971
235	298	967
236	299	964
237	300	960
238	300	957
239	301	954
240	301	950
241	302	947
242	303	944
243	303	940
244	304	937
245	304	934
246	305	931
247	306	928
248	306	925
249	307	921
250	307	918
251	308	915
252	309	912
253	309	909
254	310	906
255	310	903
256	312	902
257	312	899
258	313	896
259	313	893
260	314	890
261	315	887
262	315	884
263	316	881
264	316	878
265	317	876
266	318	873
267	318	870
268	319	868
269	320	866
270	321	863
271	321	861
272	322	858
273	323	856
274	323	853
275	324	851
276	325	848
277	325	846
278	326	844
279	327	841
280	327	839
281	328	836
282	329	833
283	329	831
284	330	828
285	330	826
286	331	823
287	332	821
288	332	818
289	333	816
290	334	813
291	334	811
292	335	809
293	336	807
294	336	804
295	337	802
296	337	800
297	338	797
298	339	795
299	339	793
300	340	790
301	341	788
302	342	786
303	342	784
304	343	782
305	343	780
306	344	777
307	345	775
308	345	773
309	346	771
310	347	769
311	347	766
312	348	764
313	349	762
314	349	760
315	350	758
316	351	756
317	351	754
318	352	752
319	352	750
320	353	747
321	354	745
322	354	743
323	355	741
324	356	739
325	357	738
326	357	736
327	358	734
328	358	732
329	359	729
330	360	727
331	360	725
332	361	723
333	361	721
334	362	719
335	363	717
336	363	715
337	364	713
338	364	711
339	365	709
340	366	707
341	366	705
342	367	703
343	368	701
344	368	699
345	369	697
346	369	695
347	370	693
348	370	691
349	371	689
350	372	688
351	372	686
352	373	684
353	374	682
354	374	680
355	375	678
356	375	677
357	376	675
358	377	673
359	377	671
360	378	670
361	379	668
362	379	666
363	380	665
364	381	663
365	381	661
366	382	659
367	383	658
368	383	656
369	384	654
370	385	653
371	385	651
372	386	649
373	387	648
374	388	646
375	388	644
376	389	643
377	389	641
378	390	639
379	391	637
380	391	636
381	392	634
382	393	633
383	393	631
384	394	630
385	395	628
386	395	626
387	396	625
388	396	623
389	397	621
390	398	620
391	398	618
392	399	617
393	400	615
394	400	613
395	401	612
396	402	610
397	402	609
398	403	607
399	404	606
400	404	604
401	405	603
402	406	601
403	407	600
404	407	599
405	408	597
406	409	596
407	409	594
408	410	593
409	411	591
410	411	590
411	412	588
412	413	587
413	413	585
414	414	584
415	415	583
416	416	581
417	416	580
418	417	579
419	418	578
420	419	576
421	420	575
422	420	574
423	421	572
424	422	571
425	423	570
426	423	568
427	424	567
428	425	565
429	425	564
430	426	563
431	427	562
432	428	560
433	428	559
434	429	557
435	430	556
436	430	555
437	431	553
438	433	553
439	433	552
440	434	550
441	435	549
442	436	548
443	436	547
444	437	545
445	438	544
446	438	542
447	439	541
448	440	540
449	440	538
450	441	537
451	442	536
452	443	535
453	443	533
454	444	532
455	445	531
456	446	530
457	446	528
458	448	528
459	448	526
460	449	525
461	450	524
462	452	524
463	453	523
464	454	522
465	455	521
466	455	520
467	456	518
468	457	517
469	457	516
470	458	514
471	459	513
472	460	512
473	460	511
474	461	510
475	462	509
476	463	508
477	464	507
478	465	506
479	465	504
480	466	503
481	467	502
482	468	501
483	468	499
484	469	498
485	470	497
486	471	496
487	471	495
488	472	493
489	473	492
490	474	491
491	474	490
492	475	489
493	476	487
494	477	486
495	478	485
